I
1100 Version - data cycle 2306, build 20240704, metadata AwyXP1100. Copyright (c) 2024 Navigraph, Datasource Jeppesen

   AA NZ  3 PEBLU NZ 11 N 2   0 460 N759
   AA NZ  3 PUHOI NZ 11 N 1   0 460 H379
   AA NZ  3 PUHOI NZ 11 N 2   0 460 H379
   AA NZ  3 SALAG NZ 11 N 1   0 460 A346
   AA NZ  3 SALAG NZ 11 N 2   0 460 A346
   AA NZ  3 TARIB NZ 11 N 1   0 460 G347
   AA NZ  3 TARIB NZ 11 N 2   0 460 G347
   AA NZ  3 TULMI NZ 11 N 1   0 460 H372
   AA NZ  3 TULMI NZ 11 N 2   0 460 H372
   AA NZ  3 UPLAR NZ 11 N 1   0 460 A464
   AA NZ  3 UPLAR NZ 11 N 2   0 460 A464
   AA NZ  3 VELMO NZ 11 N 2   0 460 L513
   AA NZ  3    WP NZ  3 N 1   0 460 H182
   AA NZ  3    WP NZ  3 N 2   0 460 H182
AARNN K7 11 MARCL K7 11 N 2 180 450 Q113
AARNN K7 11 RIDDN K6 11 N 2 180 450 Q113
AARNN K7 11 THEOO K6 11 N 2 180 450 Q129
AARNN K7 11 YERBA K7 11 N 2 180 450 Q129
  AAR OE  3 BONIS OE 11 N 1 125 600 V45
  AAR OE  3 BONIS OE 11 N 2 125 600 V45
  AAR OE  3 DELNI OE 11 N 1 120 600 V16
  AAR OE  3 DELNI OE 11 N 2 120 600 V16
  AAR OE  3 GADLI OE 11 N 1 120 600 V13
  AAR OE  3 GADLI OE 11 N 2 120 600 V13
  AAR OE  3 KAVID OE 11 N 1 120 600 B411
  AAR OE  3 KAVID OE 11 N 2 120 600 B411
  AAR OE  3 MURIB OE 11 N 1 120 600 B411
  AAR OE  3 MURIB OE 11 N 2 120 600 B411
  AAR OE  3 OVANO OE 11 F 1 160 600 L768
  AAR OE  3 OVANO OE 11 F 2 160 600 L768
  AAR OE  3 RAGED OE 11 N 1 125 600 V45
  AAR OE  3 RAGED OE 11 N 2 125 600 V45
  AAR VI  3 ANPOL VI 11 N 1  75 460 W36
  AAR VI  3 ANPOL VI 11 N 2  75 460 W36
  AAR VI  3 ASARI VI 11 N 1  85 460 W21
  AAR VI  3 ASARI VI 11 N 2  85 460 W21
  AAR VI  3 BOLUX VI 11 N 1 125 195 W25
  AAR VI  3 KIKED VI 11 N 1  85 460 W21
  AAR VI  3 KIKED VI 11 N 2  85 460 W21
  AAR VI  3 RABAN OP 11 N 1 105 460 A456
  AAR VI  3 RABAN OP 11 N 2 105 460 A456
  AAT VE  3 BOGEP VG 11 N 2 265 460 A201
  AAT VE  3   CML VG  3 N 1  75 460 B593
  AAT VE  3   CML VG  3 N 2  75 460 B593
  AAT VE  3 IKIPI VG 11 N 1  75 460 B593
  AAT VE  3 IKIPI VG 11 N 2  75 460 B593
  AAT VE  3 MEPAR VE 11 N 1 110 460 W54-W55-W84
  AAT VE  3 MEPAR VE 11 N 2 110 460 W54-W55-W84
  AAT VE  3 TEBUL VE 11 N 2 270 460 A201
  AAU VA  3 AKTIV VA 11 N 2 260 460 L301
  AAU VA  3 ASOGA VO 11 N 2 260 460 L301
  AAU VA  3 DUBOX VA 11 N 1  80 460 G450
  AAU VA  3 DUBOX VA 11 N 2  80 460 G450
  AAU VA  3 MELAX VA 11 N 1 110 600 W75
  AAU VA  3 MELAX VA 11 N 2 110 600 W75
  AAU VA  3 NONEN VA 11 N 1  75 460 W75-W79
  AAU VA  3 NONEN VA 11 N 2  75 460 W75-W79
  AAU VA  3   OJR VA  3 N 1 100 190 J70-W152
  AAU VA  3   OJR VA  3 N 2 100 190 J70-W152
  AAU VA  3 OPAKA VA 11 N 1  80 460 G450
  AAU VA  3 OPAKA VA 11 N 2  80 460 G450
  AAU VA  3 PUNOR VA 11 N 2 210 460 J19
  AAU VA  3 UBSAB VA 11 F 2 260 460 J5
AAYDE K5 11 BEENZ K5 11 N 1  30 175 T348
AAYDE K5 11 JOOHR K5 11 N 1  30 175 T348
ABABO UU 11 OLOPI UU 11 F 1 135 285 T559
ABABO UU 11 OLOPI UU 11 F 2 135 285 T559
ABADE WA 11 MARBU WA 11 N 1  20 245 Z687
ABADI LI 11 ENOXA LI 11 N 2 200 305 Q920
ABADI LI 11 GOKEL LI 11 N 2 200 305 Q920
ABADI LI 11 KAPPO LI 11 N 1 100 305 P92
ABADI LI 11 KAPPO LI 11 N 2 100 305 P92
ABADI LI 11 PAPIZ LI 11 N 1 100 305 P92
ABADI LI 11 PAPIZ LI 11 N 2 100 305 P92
ABAGA UE 11 GIKSI UE 11 N 2 275 540 T659
ABAGA UE 11 NESPA UE 11 N 2 265 540 N989
ABAGA UE 11 RANEN UE 11 N 2 265 540 N989
ABAGA UE 11 ROREP UE 11 N 2 275 540 T659
ABAGI UW 11 BITKO UU 11 N 1  95 540 T347
ABAGI UW 11 BITKO UU 11 N 2  95 540 T347
ABAGI UW 11 IPLEG UW 11 F 1  65 540 T794
ABAGI UW 11 IPLEG UW 11 F 2  65 540 T794
ABAGI UW 11 LADOD UW 11 F 1  65 275 T662
ABAGI UW 11 LADOD UW 11 F 2  65 275 T662
ABAGI UW 11 PELNE UW 11 F 1 135 540 B105-W21
ABAGI UW 11 PELNE UW 11 F 2 135 540 B105-W21
ABAGI UW 11 PISAR UW 11 F 1  65 540 M56
ABAGI UW 11 PISAR UW 11 F 2  65 540 M56
ABAGO UH 11 LADES UH 11 F 2 275 520 G902
ABAGO UH 11 MOLUT UH 11 N 1  75 265 A218
ABAGO UH 11 MOLUT UH 11 N 2 265 540 L160
ABAGO UH 11 OKRUS UH 11 N 1  95 265 A218
ABAGO UH 11 OKRUS UH 11 N 2 265 540 L160
ABAGO UH 11 RITMI UH 11 N 2 265 540 G902
ABAKO LI 11 ERNAM LI 11 F 2 200 305 M600
ABAKO LI 11 VENIM LI 11 F 2 250 305 P3
ABAKU EP 11 POLON EP 11 F 1 110 660 N871
ABAKU EP 11 POLON EP 11 F 2 110 660 N871
ABALA ES 11 LAMOS ES 11 F 1  95 285 T400
ABALI US 11 AGMIL US 11 N 1 145 540 T763
ABALI US 11 AGMIL US 11 N 2 145 540 T763
ABALI US 11 ARLAD US 11 F 1  75 520 L158
ABALI US 11 ARLAD US 11 F 2  75 520 L158
ABALI US 11 KEROM US 11 N 1  85 540 N987
ABALI US 11 KEROM US 11 N 2  85 540 N987
ABALI US 11 LETIK UA 11 N 1  85 540 N987
ABALI US 11 LETIK UA 11 N 2  85 540 N987
ABALI US 11 PEMAG US 11 N 1  65 540 L158
ABALI US 11 PEMAG US 11 N 2  65 540 L158
ABALO LP 11 NIDUL LP 11 F 1  95 195 Z220
ABALO LP 11 NIDUL LP 11 F 2 195 245 UZ220
ABALO LP 11 PELUS LP 11 F 2 195 245 UM190
ABALO LP 11   SNT LP  3 F 2 195 245 UQ11
ABALU UU 11 ABDON UU 11 N 1  65 540 L4
ABALU UU 11 ABDON UU 11 N 2  65 540 L4
ABALU UU 11 KUBOK UK 11 F 1  95 540 L4
ABALU UU 11 KUBOK UK 11 F 2  95 540 L4
ABAMA ES 11 MOKNI ES 11 F 1  95 660 N850
ABAMA ES 11 MOKNI ES 11 F 2  95 660 N850
ABAMI ED 11 IRBUP ED 11 N 1 115 245 Z717
ABAMI ED 11 NEREL ED 11 F 1 115 660 Z717
ABAMI ED 11 NEREL ED 11 F 2 115 660 Z717
ABANI UT 11 EKPAK UT 11 N 1  60 510 A466
ABANI UT 11 EKPAK UT 11 N 2  60 510 A466
ABANN MU 11 NORIL MU 11 N 2 250 600 UL674
ABANN MU 11 NUKAN MM 11 N 1  80 245 G765
ABANN MU 11 NUKAN MM 11 N 2 250 600 UG765
ABANN MU 11 PODON MU 11 N 1  80 245 G765
ABANN MU 11 PODON MU 11 N 2 250 600 UG765
ABANN MU 11 WALKY MU 11 N 2 250 600 UL674
ABANU EN 11 RADNO EN 11 N 1  75 660 M609
ABANU EN 11 RADNO EN 11 N 2  75 660 M609
ABAPI UE 11 GISUN UE 11 N 2 275 540 W39
ABAPI UE 11 GLIDA UE 11 N 2 275 540 W39
ABAPU FY 11 EVESO FY 11 N 2 245 460 UL307
ABAPU FY 11 IMVEX FN 11 N 2 245 460 UL307
ABARB YB 11 NOBAR YM 11 N 2   0 600 B450
ABARI LF 11 MOROK LF 11 F 2 195 500 UL856
ABASA RP 11 RINAL RP 11 N 1  70 600 W23
ABASA RP 11 RINAL RP 11 N 2  70 600 W23
ABASA WI 11 ALTAR WI 11 F 1  60 600 W14
ABASA WI 11 ALTAR WI 11 F 2  60 600 W14
ABASE SB 11 ISUGI SB 11 N 2 250 600 UM791
ABASE SB 11 KIGUK SB 11 N 2 250 600 UM791
ABASE SB 11 OGREX SB 11 N 2 250 600 UZ27
ABASS YM 11 OMLAV YM 11 N 1   0 600 W778
ABASS YM 11 OMLAV YM 11 N 2   0 600 W778
ABASU EN 11 AMIMO EN 11 N 2 285 660 P80
ABASU EN 11 MOKAX EN 11 N 1 115 660 T399
ABASU EN 11 MOKAX EN 11 N 2 115 660 T399
ABASU EN 11 PIPUL EN 11 N 2 285 660 P80
ABATA UE 11 ADUGO UE 11 N 1  75 600 W198
ABATA UE 11 ADUGO UE 11 N 2  75 600 W198
ABATA UE 11 AGDUM UE 11 N 2 265 540 M988
ABATA UE 11 BALOM UE 11 N 2 265 540 M177
ABATA UE 11 BARUB UE 11 N 1  55 265 W193
ABATA UE 11 BEPIN UE 11 N 2 265 540 T189
ABATA UE 11 GOMAG UE 11 N 1  55 265 G226
ABATA UE 11 KUTSO UE 11 N 1  75 235 W199
ABATA UE 11 NIDEN UE 11 N 2 265 540 T640
