I
1200 Version - data cycle 2306, build 20240704, metadata NavXP1200. Copyright (c) 2024 Navigraph, Datasource Jeppesen

 3 -29.100661111   26.300641667     4416    11410   130    -22.000  BLV ENRT FA BLOEMFONTEIN VORTAC
12 -29.100661111   26.300641667     4416    11410   130      0.000  BLV ENRT FA BLOEMFONTEIN VORTAC DME
 3  32.416875000   -6.298022222     1772    11310   130     -1.000  BML ENRT GM BENI MELLAL VOR/DME
12  32.416875000   -6.298022222     1772    11310   130      0.000  BML ENRT GM BENI MELLAL VOR/DME
 3  32.124444444   20.253611111      349    11740   130      3.000  BNA ENRT HL BENINA (BENGHAZI) VOR/DME
12  32.124444444   20.253611111      349    11740   130      0.000  BNA ENRT HL BENINA (BENGHAZI) VOR/DME
 3  33.641805556   -7.208000000      689    11745    40     -1.000  BNS ENRT GM BENSLIMANE VOR/DME
12  33.641805556   -7.208000000      689    11745    40      0.000  BNS ENRT GM BENSLIMANE VOR/DME
 3  28.133047222    6.839175000     1207    11430   130      1.000  BOD ENRT DA BORDJ OMAR DRISS VOR/DME
12  28.133047222    6.839175000     1207    11430   130      0.000  BOD ENRT DA BORDJ OMAR DRISS VOR/DME
 3  24.012722222   35.442722222      174    11400    40      4.000  BRC ENRT HE BERNICE VOR/DME
12  24.012722222   35.442722222      174    11400    40      0.000  BRC ENRT HE BERNICE VOR/DME
 3  32.514294444   -2.030475000     3650    11700   130     -0.000  BRF ENRT GM BOUARFA VOR/DME
12  32.514294444   -2.030475000     3650    11700   130      0.000  BRF ENRT GM BOUARFA VOR/DME
 3  31.575555556   26.005555556      120    11620   130      4.000  BRN ENRT HE SIDI BARRANI VOR/DME
12  31.575555556   26.005555556      120    11620   130      0.000  BRN ENRT HE SIDI BARRANI VOR/DME
 3   8.128263889   34.561397222     1804    11450   130      2.000  BRO ENRT HA GAMBELLA VOR/DME
12   8.128263889   34.561397222     1804    11450   130      0.000  BRO ENRT HA GAMBELLA VOR/DME
 3  35.332138889    4.208388889     1506    11590   130      1.000  BSA ENRT DA BOU SAADA VOR/DME
12  35.332138889    4.208388889     1506    11590   130      0.000  BSA ENRT DA BOU SAADA VOR/DME
 3   4.229352778   15.783841667        0    11390   130      1.000   BT ENRT FE BERBERATI VOR
 3   1.902463889    9.808919444       52    11540   130     -2.000  BTA ENRT FG BATA VOR/DME
12   1.902463889    9.808919444       52    11540   130      0.000  BTA ENRT FG BATA VOR/DME
 3  35.771527778    6.343794444     2700    11570   130      2.000  BTN ENRT DA BATNA VOR/DME
12  35.771527778    6.343794444     2700    11570   130      0.000  BTN ENRT DA BATNA VOR/DME
 3   1.565930556   30.229488889     4137    11400   130      2.000  BUN ENRT FZ BUNIA VOR/DME
12   1.565930556   30.229488889     4137    11400   130      0.000  BUN ENRT FZ BUNIA VOR/DME
