uid,name,manufacturer,type,bpr,pr,max_thrust,ei_hc_to,ei_hc_co,ei_hc_app,ei_hc_idl,ei_co_to,ei_co_co,ei_co_app,ei_co_idl,ei_nox_to,ei_nox_co,ei_nox_app,ei_nox_idl,ff_to,ff_co,ff_app,ff_idl,fuel_lto,cruise_thrust,cruise_sfc,cruise_mach,cruise_alt
21PW140,PW1217G,Pratt & Whitney,TF,8.33,32.65,75720,0.04,0.02,0.01,0.01,0.3,0.4,2.5,14.2,25.3,18.6,8.6,5.1,0.634,0.524,0.184,0.069,247.8,,,,
20PW129,PW1525G,Pratt & Whitney,TF,11.05,38.67,108530,0.0,0.0,0.1,0.1,0.0,0.0,1.8,16.7,26.0,20.5,10.4,6.0,0.79,0.65,0.23,0.08,292.2,,,,
20PW130,PW1524G,Pratt & Whitney,TF,11.05,38.67,108530,0.0,0.0,0.1,0.1,0.0,0.0,1.8,16.7,26.0,20.5,10.4,6.0,0.79,0.65,0.23,0.08,292.2,,,,
20PW131,PW1521G,Pratt & Whitney,TF,11.37,35.11,97720,0.0,0.0,0.1,0.1,0.0,0.0,2.5,19.3,22.1,18.1,10.1,5.6,0.69,0.58,0.21,0.07,265.3,,,,
20PW132,PW1521GA,Pratt & Whitney,TF,11.37,35.11,97720,0.0,0.0,0.1,0.1,0.0,0.0,2.5,19.3,22.1,18.1,10.1,5.6,0.69,0.58,0.21,0.07,265.3,,,,
20PW133,PW1519G,Pratt & Whitney,TF,11.64,32.28,87960,0.0,0.0,0.1,0.2,0.0,0.0,3.3,21.4,19.6,16.6,9.8,5.3,0.62,0.52,0.19,0.07,245.6,,,,
20PW134,PW1919G,Pratt & Whitney,TF,11.6,33.27,92790,0.0,0.0,0.1,0.2,0.0,0.0,3.3,22.2,20.0,16.7,9.8,5.2,0.65,0.54,0.2,0.07,251.7,,,,
20PW135,PW1921G,Pratt & Whitney,TF,11.36,35.76,100300,0.0,0.0,0.1,0.1,0.0,0.0,2.7,19.8,22.2,18.1,10.0,5.5,0.71,0.59,0.21,0.07,270.4,,,,
20PW136,PW1922G,Pratt & Whitney,TF,11.16,37.74,105930,0.0,0.0,0.1,0.1,0.0,0.0,2.3,18.4,24.2,19.3,10.2,5.7,0.76,0.63,0.22,0.07,284.9,,,,
20PW137,PW1923G-A,Pratt & Whitney,TF,11.16,37.74,105930,0.0,0.0,0.1,0.1,0.0,0.0,2.3,18.4,24.2,19.3,10.2,5.7,0.76,0.63,0.22,0.07,284.9,,,,
20PW138,PW1923G,Pratt & Whitney,TF,11.16,37.74,105930,0.0,0.0,0.1,0.1,0.0,0.0,2.3,18.4,24.2,19.3,10.2,5.7,0.76,0.63,0.22,0.07,284.9,,,,
4PW072,PW2037,Pratt & Whitney,TF,5.71,26.7,166350,0.02,0.02,0.11,1.92,0.33,0.34,1.95,22.36,29.41,23.96,9.77,4.1,1.571,1.307,0.458,0.152,586.0,28913.0,0.0165,0.85,35000.0
4PW073,PW2040,Pratt & Whitney,TF,5.54,29.4,182020,0.01,0.02,0.1,1.65,0.32,0.41,1.42,19.95,35.04,26.62,10.49,4.37,1.752,1.445,0.496,0.159,631.0,28913.0,0.0165,0.85,35000.0
7PW077,PW306A,Pratt & Whitney Canada,MTF,4.5,20.0,26870,0.0,0.0,0.0,4.36,2.27,2.51,7.11,36.35,20.08,19.26,11.87,4.26,0.3171,0.2641,0.0974,0.0422,137.0,,,,
7PW078,PW306B,Pratt & Whitney Canada,MTF,4.5,20.0,26910,0.0,0.0,0.0,4.36,2.27,2.51,7.11,36.35,20.08,19.26,11.87,4.26,0.3171,0.2641,0.0974,0.0422,137.0,,,,
16PW114,PW307A,Pratt & Whitney Canada,MTF,4.2,20.21,28490,0.0,0.0,0.0,1.99,0.27,0.23,3.23,36.92,18.28,15.58,8.77,2.86,0.327,0.272,0.102,0.044,143.0,,,,
15PW109,PW307D,Pratt & Whitney Canada,MTF,4.2,21.44,29910,0.0,0.0,0.0,0.75,0.0,0.02,2.57,26.75,20.61,15.44,7.85,4.32,0.3545,0.2769,0.1115,0.0462,150.0,,,,
