# code,name,lat,lon,class,alt,country code
, AMIGOS DEL CIELO, 31.903, -109.025, Small, 5000, US/NM
, AMLA, 21.926, 78.114, Small, 2279, IN
, AMMON, 32.025, -109.96, Small, 1950, US/AZ
, AMMONS, 31.532, -93.708, Small, 3275, US/LA
, AMOS, 35.6, -91.433, Small, 2905, US/AR
, AMSTERDAM AIRFIELD, 42.963, -74.254, Small, 1450, US/NY
, AMY, 37.467, -100.0, Small, 1300, US/KS
, AMY, 38.125, -86.162, Small, 1050, US/IN
, AN NASIRIYAH, 33.919, 36.867, Medium, 9842, SY
, ANACACHO RANCH, 29.192, -100.275, Small, 6000, US/TX
, ANACORTES, 48.499, -122.662, Large, 3015, US/WA
, ANADARKO MUNI, 35.052, -98.264, Small, 3100, US/OK
, ANAHIM LAKE, 52.453, -125.303, Small, 3930, CA
, ANAPOLIS, -16.362, -48.927, Small, 6043, BR
, ANCAM ANTIQUE AIRFIELD, 40.857, -91.204, Small, 2300, US/IA
, ANCHOR RIVER AIRPARK, 59.797, -151.863, Small, 2500, US/AK
, ANCHORAGE FARM FIELD, 30.009, -96.759, Small, 1700, US/TX
, ANCIENT OAKS, 29.729, -83.353, Small, 3100, US/FL
, ANDALGALA, -27.632, -66.351, Small, 5020, AR
, ANDALUSIA OPP, 31.309, -86.394, Large, 5001, US/AL
, ANDEROSA AIRPARK, 31.047, -94.854, Small, 1650, US/TX
, ANDERSEN FARMS, 44.465, -97.222, Small, 3100, US/SD
, ANDERSON, 35.404, -89.022, Small, 2330, US/TN
, ANDERSON, 37.8, -78.467, Small, 2400, US/VA
, ANDERSON, 39.196, -85.206, Small, 1300, US/IN
, ANDERSON, 42.009, -88.718, Small, 1900, US/IL
, ANDERSON, 42.502, -90.843, Small, 2000, US/IA
, ANDERSON, 47.787, -93.06, Small, 2150, US/MN
, ANDERSON AERIAL SPRAYING, 43.902, -99.879, Small, 2900, US/SD
, ANDERSON AIRFIELD, 39.581, -84.092, Small, 1400, US/OH
, ANDERSON FARM, 38.049, -75.704, Small, 2150, US/MD
, ANDERSON FIELD, 48.643, -96.807, Small, 3000, US/MN
, ANDERSON FLD, 48.105, -119.721, Small, 4000, US/WA
, ANDERSON LAKE, 61.617, -149.322, Small, 3000, US/AK
